"SampleId","DonorId","cohort"
"D30","D30","A"
"D218","D218","B"
"D211","D211","C"
"D107","D107","B"
"D317","D317","C"
"D262","D262","C"
"D110","D110","C"
"D165","D165","A"
"D196","D196","B"
"D23","D23","A"
"D256_1","D256","B"
"D5","D5","A"
"D171","D171","C"
"D314","D314","C"
"D343","D343","C"
"D244","D244","A"
"D44","D44","A"
"D267","D267","C"
"D141","D141","A"
"D3","D3","B"
"D75","D75","A"
"D121","D121","A"
"D227","D227","C"
"D193","D193","C"
"D337","D337","C"
"D15","D15","A"
"D269","D269","C"
"D174","D174","B"
"D88","D88","B"
"D9","D9","B"
"D302","D302","A"
"D101","D101","B"
"D13","D13","C"
"D247_1","D247","C"
"D276","D276","A"
"D65","D65","C"
"D307","D307","C"
"D40","D40","A"
"D4","D4","A"
"D46","D46","B"
"D251","D251","B"
"D51","D51","B"
"D223","D223","C"
"D199","D199","B"
"D243","D243","A"
"D56","D56","A"
"D208","D208","B"
"D320","D320","A"
"D54","D54","B"
"D310_1","D310","A"
"D348","D348","A"
"D288","D288","B"
"D336","D336","C"
"D150","D150","B"
"D67","D67","B"
"D78","D78","C"
"D94","D94","B"
"D47","D47","B"
"D206","D206","C"
"D82","D82","C"
"D100","D100","B"
"D104","D104","C"
"D344","D344","A"
"D168","D168","A"
"D216","D216","A"
"D188","D188","B"
"D187","D187","B"
"D194","D194","B"
"D290","D290","C"
"D53","D53","B"
"D145","D145","C"
"D352","D352","A"
"D254","D254","A"
"D331","D331","C"
"D32","D32","A"
"D207","D207","B"
"D219","D219","A"
"D118","D118","A"
"D287","D287","C"
"D272","D272","A"
"D153","D153","B"
"D335","D335","B"
"D39","D39","C"
"D64","D64","B"
"D339","D339","C"
"D280","D280","A"
"D200","D200","A"
"D63","D63","B"
"D99","D99","C"
"D232","D232","A"
"D268","D268","A"
"D137","D137","A"
"D308","D308","B"
"D170","D170","A"
"D27","D27","C"
"D152","D152","C"
"D210","D210","C"
"D33","D33","B"
"D185","D185","C"
"D38","D38","C"
"D43","D43","A"
"D238","D238","A"
"D203","D203","B"
"D123","D123","C"
"D35","D35","C"
"D105","D105","C"
"D125","D125","C"
"D311","D311","B"
"D74","D74","A"
"D144","D144","B"
"D62","D62","C"
"D328","D328","A"
"D102","D102","B"
"D127","D127","A"
"D135","D135","B"
"D148","D148","B"
"D120","D120","C"
"D297","D297","A"
"D198","D198","A"
"D122","D122","C"
"D278","D278","C"
"D255","D255","C"
"D329","D329","B"
"D59","D59","B"
"D70","D70","C"
"D261","D261","A"
"D18","D18","C"
"D19","D19","A"
"D189","D189","A"
"D6","D6","C"
"D72","D72","C"
"D90","D90","A"
"D325","D325","A"
"D10","D10","B"
"D249","D249","C"
"D115","D115","B"
"D131","D131","A"
"D332","D332","C"
"D273","D273","C"
"D291","D291","A"
"D180","D180","B"
"D86","D86","A"
"D263","D263","C"
"D45","D45","B"
"D162","D162","A"
"D300","D300","B"
"D24","D24","A"
"D119","D119","A"
"D182","D182","B"
"D85","D85","C"
"D275","D275","A"
"D346","D346","C"
"D29","D29","B"
"D258","D258","C"
"D93","D93","B"
"D22","D22","B"
"D224","D224","A"
"D298","D298","C"
"D350","D350","C"
"D130","D130","A"
"D324","D324","A"
"D61","D61","C"
"D264","D264","A"
"D340","D340","A"
"D239","D239","B"
"D20","D20","C"
"D147","D147","B"
"D230","D230","C"
"D284","D284","B"
"D231","D231","B"
"D2","D2","A"
"D209","D209","A"
"D97","D97","A"
"D129","D129","C"
"D7","D7","B"
"D212","D212","C"
"D155","D155","B"
"D41","D41","C"
"D326","D326","A"
"D296","D296","C"
"D111","D111","A"
"D248","D248","A"
"D31","D31","A"
"D246","D246","B"
"D304","D304","C"
"D69","D69","B"
"D295","D295","C"
"D330","D330","C"
"D260","D260","B"
"D177","D177","B"
"D124","D124","C"
"D109","D109","B"
"D156","D156","B"
"D21","D21","C"
"D8","D8","A"
"D173_1","D173","A"
"D55","D55","A"
"D327","D327","A"
"D163","D163","B"
"D202","D202","C"
"D68","D68","B"
"D113","D113","A"
"D79","D79","A"
"D192","D192","C"
"D60","D60","B"
"D334","D334","A"
"D136","D136","A"
"D87","D87","A"
"D16","D16","C"
"D157","D157","B"
"D116","D116","A"
"D95_1","D95","B"
"D28","D28","C"
"D281","D281","B"
"D233","D233","B"
"D37","D37","B"
"D112","D112","B"
"D142","D142","A"
"D226","D226","A"
"D285","D285","C"
"D319","D319","A"
"D241","D241","B"
"D354","D354","B"
"D178","D178","B"
"D26","D26","C"
"D25","D25","C"
"D257","D257","A"
"D277","D277","B"
"D164","D164","C"
"D57","D57","A"
"D303","D303","B"
"D289","D289","C"
"D321","D321","C"
"D184","D184","C"
"D108","D108","B"
"D167","D167","A"
"D345","D345","B"
"D128","D128","A"
"D250","D250","B"
"D11","D11","B"
"D183","D183","A"
"D240","D240","C"
"D279","D279","A"
"D286","D286","B"
"D236","D236","C"
"D146","D146","B"
"D341","D341","B"
"D103","D103","B"
"D259","D259","C"
"D14","D14","B"
"D316","D316","C"
"D214","D214","A"
"D213","D213","C"
"D220","D220","B"
"D169","D169","B"
"D132","D132","C"
"D201","D201","B"
"D237","D237","C"
"D294","D294","A"
"D138_1","D138","A"
